ID,x,t_x,T,zbar
122,0,0.00,38.14,0.00
123,0,0.00,38.14,0.00
124,0,0.00,38.14,0.00
125,1,7.14,38.14,36.71
126,0,0.00,38.00,0.00
127,0,0.00,38.00,0.00
128,0,0.00,38.00,0.00
129,4,7.57,38.00,13.62
130,3,26.00,38.00,19.36
131,0,0.00,38.00,0.00
132,1,24.00,38.00,71.66
133,2,28.43,38.00,13.87
134,0,0.00,38.00,0.00
135,1,23.43,38.00,19.54
136,2,7.43,38.00,23.48
137,0,0.00,38.00,0.00
138,2,16.86,38.00,51.80
139,1,2.14,38.00,29.33
140,1,15.71,38.00,23.54
141,0,0.00,38.00,0.00
142,5,6.86,38.00,35.58
143,2,28.57,38.00,15.16
144,7,34.14,38.00,22.92
145,2,35.71,38.00,18.98
146,0,0.00,38.00,0.00
147,4,29.29,38.00,29.86
148,13,37.86,38.00,29.34
149,0,0.00,38.00,0.00
150,4,33.00,38.00,28.53
151,4,35.29,38.00,24.94
152,0,0.00,38.00,0.00
153,0,0.00,38.00,0.00
154,1,2.86,38.00,16.70
155,0,0.00,38.00,0.00
156,1,6.43,38.00,34.32
157,29,37.71,38.00,26.26
158,0,0.00,37.86,0.00
159,3,24.71,37.86,46.59
160,0,0.00,37.86,0.00
161,0,0.00,37.86,0.00
162,1,2.00,37.86,46.28
163,0,0.00,37.86,0.00
164,10,37.00,37.86,62.44
165,0,0.00,37.86,0.00
166,0,0.00,37.86,0.00
167,13,28.14,37.86,25.46
168,0,0.00,37.86,0.00
169,0,0.00,37.86,0.00
170,1,37.43,37.86,14.49
171,0,0.00,37.86,0.00
172,0,0.00,37.86,0.00
173,0,0.00,37.86,0.00
174,0,0.00,37.86,0.00
175,0,0.00,37.86,0.00
176,0,0.00,37.71,0.00
177,0,0.00,37.71,0.00
178,6,32.86,37.71,35.18
179,8,36.14,37.71,49.25
180,0,0.00,37.71,0.00
181,0,0.00,37.71,0.00
182,0,0.00,37.71,0.00
183,1,5.00,37.71,15.76
184,0,0.00,37.71,0.00
185,4,36.14,37.71,33.91
186,0,0.00,37.71,0.00
187,2,7.86,37.71,11.87
188,3,21.14,37.71,37.99
189,3,6.00,37.71,28.46
190,0,0.00,37.71,0.00
191,0,0.00,37.71,0.00
192,0,0.00,37.71,0.00
193,0,0.00,37.71,0.00
194,0,0.00,37.71,0.00
195,6,27.00,37.71,28.77
196,0,0.00,37.71,0.00
197,1,1.57,37.71,27.13
198,0,0.00,37.71,0.00
199,0,0.00,37.71,0.00
200,2,14.29,37.57,41.48
201,0,0.00,37.57,0.00
202,2,7.00,37.57,18.88
203,2,31.00,37.57,21.87
204,0,0.00,37.57,0.00
205,0,0.00,37.57,0.00
206,1,18.00,37.57,14.96
207,0,0.00,37.57,0.00
208,1,0.29,37.57,34.27
209,0,0.00,37.57,0.00
210,0,0.00,37.57,0.00
211,7,17.86,37.57,71.81
212,0,0.00,37.57,0.00
213,0,0.00,37.57,0.00
214,0,0.00,37.57,0.00
215,2,29.00,37.57,14.47
216,0,0.00,37.57,0.00
217,4,24.29,37.57,37.26
218,0,0.00,37.43,0.00
219,1,14.86,37.43,14.99
220,1,27.43,37.43,21.74
221,0,0.00,37.43,0.00
222,0,0.00,37.43,0.00
223,0,0.00,37.43,0.00
224,0,0.00,37.43,0.00
225,0,0.00,37.43,0.00
226,2,11.43,37.43,20.35
227,0,0.00,37.43,0.00
228,1,2.00,37.43,13.97
229,1,1.86,37.43,9.77
230,2,33.00,37.43,28.65
231,0,0.00,37.43,0.00
232,3,36.57,37.43,22.29
233,0,0.00,37.43,0.00
234,0,0.00,37.43,0.00
235,0,0.00,37.43,0.00
236,0,0.00,37.43,0.00
237,0,0.00,37.43,0.00
238,0,0.00,37.43,0.00
239,0,0.00,37.43,0.00
240,0,0.00,37.43,0.00
241,0,0.00,37.43,0.00
242,4,31.43,37.43,24.09
243,1,8.29,37.29,55.28
244,5,5.14,37.29,194.86
245,0,0.00,37.29,0.00
246,0,0.00,37.29,0.00
247,2,24.00,37.29,36.11
248,0,0.00,37.29,0.00
249,1,1.86,37.29,30.32
250,2,20.43,37.29,26.94
251,0,0.00,37.29,0.00
252,0,0.00,37.29,0.00
253,1,32.00,37.29,16.36
254,0,0.00,37.29,0.00
255,1,0.43,37.29,11.77
256,0,0.00,37.29,0.00
257,5,16.14,37.29,32.12
258,0,0.00,37.29,0.00
259,0,0.00,37.29,0.00
260,1,5.86,37.29,38.77
261,2,28.57,37.29,52.94
262,0,0.00,37.29,0.00
263,1,36.86,37.29,64.45
264,0,0.00,37.29,0.00
265,0,0.00,37.29,0.00
266,1,0.14,37.29,11.77
267,2,35.57,37.29,21.36
268,1,5.71,37.29,90.83
269,0,0.00,37.14,0.00
270,1,2.00,37.14,79.72
271,0,0.00,37.14,0.00
272,1,3.86,37.14,41.82
273,0,0.00,37.14,0.00
274,3,24.29,37.14,20.50
275,1,34.00,37.14,25.74
276,13,30.71,37.14,17.56
277,0,0.00,37.14,0.00
278,0,0.00,37.14,0.00
279,0,0.00,37.14,0.00
280,0,0.00,37.14,0.00
281,0,0.00,37.14,0.00
282,3,19.43,37.14,87.43
283,3,32.86,37.14,19.62
284,1,3.00,37.14,36.67
285,0,0.00,37.14,0.00
286,0,0.00,37.14,0.00
287,3,31.57,37.14,33.97
288,0,0.00,37.14,0.00
289,5,36.43,37.14,36.98
290,0,0.00,37.14,0.00
291,2,35.43,37.14,65.07
292,1,0.43,37.14,20.75
293,0,0.00,37.14,0.00
294,1,0.71,37.14,18.99
295,0,0.00,37.14,0.00
296,0,0.00,37.14,0.00
297,1,15.29,37.00,76.41
298,1,1.14,37.00,12.97
299,0,0.00,37.00,0.00
300,0,0.00,37.00,0.00
301,0,0.00,37.00,0.00
302,3,34.43,37.00,20.08
303,1,36.29,37.00,31.48
304,1,17.86,37.00,69.84
305,0,0.00,37.00,0.00
306,1,3.43,37.00,14.37
307,0,0.00,37.00,0.00
308,0,0.00,37.00,0.00
309,0,0.00,37.00,0.00
310,4,4.29,37.00,48.81
311,0,0.00,37.00,0.00
312,2,34.57,37.00,25.61
313,0,0.00,37.00,0.00
314,3,27.71,37.00,93.40
315,0,0.00,37.00,0.00
316,0,0.00,37.00,0.00
317,1,19.86,37.00,29.75
318,0,0.00,37.00,0.00
319,1,16.57,37.00,48.94
320,0,0.00,37.00,0.00
321,2,32.00,37.00,60.75
322,0,0.00,36.86,0.00
323,1,8.86,36.86,41.77
324,3,2.71,36.86,15.89
325,25,27.29,36.86,37.21
326,0,0.00,36.86,0.00
327,0,0.00,36.86,0.00
328,0,0.00,36.86,0.00
329,0,0.00,36.86,0.00
330,5,22.57,36.86,59.42
331,0,0.00,36.86,0.00
332,2,14.14,36.86,10.88
333,0,0.00,36.86,0.00
334,0,0.00,36.86,0.00
335,0,0.00,36.86,0.00
336,5,36.00,36.86,45.07
337,0,0.00,36.86,0.00
338,0,0.00,36.86,0.00
339,1,22.43,36.86,9.77
340,0,0.00,36.86,0.00
341,0,0.00,36.86,0.00
342,0,0.00,36.86,0.00
343,0,0.00,36.86,0.00
344,2,22.57,36.71,15.70
345,0,0.00,36.71,0.00
346,0,0.00,36.71,0.00
347,0,0.00,36.71,0.00
348,1,22.57,36.71,4.79
349,0,0.00,36.71,0.00
350,2,22.57,36.71,79.02
351,1,9.57,36.71,12.77
352,0,0.00,36.71,0.00
353,0,0.00,36.71,0.00
354,0,0.00,36.71,0.00
355,0,0.00,36.71,0.00
356,0,0.00,36.71,0.00
357,1,2.57,36.71,242.98
358,2,23.71,36.71,36.22
359,0,0.00,36.71,0.00
360,0,0.00,36.71,0.00
361,0,0.00,36.71,0.00
362,0,0.00,36.71,0.00
363,2,10.57,36.71,9.77
364,4,28.71,36.71,41.81
365,0,0.00,36.71,0.00
366,0,0.00,36.57,0.00
367,1,11.71,36.57,176.45
368,3,17.43,36.57,26.42
369,0,0.00,36.57,0.00
370,1,14.14,36.57,24.74
371,0,0.00,36.57,0.00
372,0,0.00,36.57,0.00
373,0,0.00,36.57,0.00
374,0,0.00,36.57,0.00
375,0,0.00,36.57,0.00
376,1,5.71,36.57,13.77
377,1,10.43,36.57,13.97
378,1,22.00,36.57,16.70
379,0,0.00,36.57,0.00
380,0,0.00,36.57,0.00
381,0,0.00,36.57,0.00
382,11,36.43,36.57,37.11
383,0,0.00,36.57,0.00
384,0,0.00,36.57,0.00
385,4,31.14,36.57,22.86
386,0,0.00,36.57,0.00
387,0,0.00,36.57,0.00
388,1,15.29,36.43,100.59
389,2,10.14,36.43,22.08
390,0,0.00,36.43,0.00
391,0,0.00,36.43,0.00
392,0,0.00,36.43,0.00
393,0,0.00,36.43,0.00
394,1,25.86,36.43,189.64
395,1,4.43,36.43,23.54
396,0,0.00,36.43,0.00
397,3,21.29,36.43,14.37
398,1,8.00,36.43,29.99
399,0,0.00,36.43,0.00
400,0,0.00,36.43,0.00
401,2,21.86,36.43,18.14
402,0,0.00,36.43,0.00
403,8,31.14,36.43,44.80
404,1,6.14,36.43,15.38
405,0,0.00,36.43,0.00
406,2,15.86,36.43,34.22
407,1,31.86,36.43,14.96
408,0,0.00,36.43,0.00
409,0,0.00,36.43,0.00
410,1,21.71,36.43,28.34
411,0,0.00,36.43,0.00
412,2,3.43,36.43,15.36
413,0,0.00,36.43,0.00
414,0,0.00,36.43,0.00
415,3,20.86,36.29,17.89
416,0,0.00,36.29,0.00
417,0,0.00,36.29,0.00
418,0,0.00,36.29,0.00
419,0,0.00,36.29,0.00
420,0,0.00,36.29,0.00
421,0,0.00,36.29,0.00
422,2,12.43,36.29,52.47
423,2,19.71,36.29,13.37
424,0,0.00,36.29,0.00
425,0,0.00,36.29,0.00
426,0,0.00,36.29,0.00
427,1,4.43,36.29,29.33
428,2,30.00,36.29,25.05
429,0,0.00,36.29,0.00
430,0,0.00,36.29,0.00
431,0,0.00,36.29,0.00
432,0,0.00,36.29,0.00
433,0,0.00,36.29,0.00
434,1,8.43,36.29,25.74
435,0,0.00,36.29,0.00
436,0,0.00,36.29,0.00
437,0,0.00,36.29,0.00
438,0,0.00,36.29,0.00
439,1,18.14,36.29,34.14
440,2,26.14,36.29,97.58
441,4,26.71,36.29,13.93
442,0,0.00,36.29,0.00
443,0,0.00,36.29,0.00
444,2,3.14,36.14,29.98
445,0,0.00,36.14,0.00
446,6,27.14,36.14,23.18
447,0,0.00,36.14,0.00
448,1,2.14,36.14,44.97
449,0,0.00,36.14,0.00
450,1,7.86,36.14,27.33
451,1,8.86,36.14,83.39
452,1,17.00,36.14,11.77
453,2,11.00,36.14,31.26
454,1,27.14,36.14,14.37
455,0,0.00,36.14,0.00
456,7,28.29,36.14,66.89
457,4,15.14,36.14,19.02
458,0,0.00,36.14,0.00
459,0,0.00,36.14,0.00
460,0,0.00,36.14,0.00
461,7,25.43,36.14,21.39
462,0,0.00,36.14,0.00
463,1,8.57,36.14,58.07
464,1,17.00,36.14,38.71
465,0,0.00,36.14,0.00
466,2,23.00,36.14,32.54
467,1,31.57,36.14,51.50
468,0,0.00,36.14,0.00
469,4,30.43,36.14,21.65
470,0,0.00,36.14,0.00
471,1,2.43,36.14,14.79
472,0,0.00,36.14,0.00
473,0,0.00,36.14,0.00
474,2,33.71,36.14,20.13
475,0,0.00,36.14,0.00
476,0,0.00,36.14,0.00
477,4,36.00,36.14,29.69
478,0,0.00,36.14,0.00
479,0,0.00,36.00,0.00
480,2,21.29,36.00,56.95
481,1,21.57,36.00,89.48
482,0,0.00,36.00,0.00
483,1,8.57,36.00,11.97
484,0,0.00,36.00,0.00
485,11,33.14,36.00,50.03
486,0,0.00,36.00,0.00
487,4,9.00,36.00,31.04
488,0,0.00,36.00,0.00
489,0,0.00,36.00,0.00
490,0,0.00,36.00,0.00
491,4,17.43,36.00,32.82
492,0,0.00,36.00,0.00
493,3,30.43,36.00,31.99
494,0,0.00,36.00,0.00
495,1,36.00,36.00,11.49
496,1,2.14,36.00,15.36
497,0,0.00,36.00,0.00
498,0,0.00,36.00,0.00
499,6,26.57,36.00,43.93
500,3,5.57,36.00,36.19
501,0,0.00,36.00,0.00
502,0,0.00,36.00,0.00
503,0,0.00,36.00,0.00
504,0,0.00,35.86,0.00
505,2,14.29,35.86,39.60
506,0,0.00,35.86,0.00
507,2,31.00,35.86,27.85
508,0,0.00,35.86,0.00
509,18,35.14,35.86,78.63
510,0,0.00,35.86,0.00
511,1,5.29,35.86,14.96
512,0,0.00,35.86,0.00
513,1,7.86,35.86,37.65
514,0,0.00,35.86,0.00
515,0,0.00,35.86,0.00
516,0,0.00,35.86,0.00
517,5,29.57,35.86,27.39
518,0,0.00,35.86,0.00
519,1,35.86,35.86,41.47
520,0,0.00,35.86,0.00
521,6,34.86,35.86,18.67
522,0,0.00,35.86,0.00
523,2,11.14,35.86,17.62
524,0,0.00,35.86,0.00
525,0,0.00,35.86,0.00
526,2,22.71,35.86,96.09
527,0,0.00,35.86,0.00
528,1,29.86,35.86,27.77
529,1,20.86,35.71,38.92
530,0,0.00,35.71,0.00
531,0,0.00,35.71,0.00
532,1,12.86,35.71,12.49
533,0,0.00,35.71,0.00
534,1,4.57,35.71,44.88
535,2,29.43,35.71,77.42
536,0,0.00,35.71,0.00
537,0,0.00,35.71,0.00
538,0,0.00,35.71,0.00
539,1,0.14,35.71,6.79
540,0,0.00,35.71,0.00
541,2,31.71,35.71,33.72
542,0,0.00,35.71,0.00
543,2,22.43,35.71,135.96
544,0,0.00,35.71,0.00
545,0,0.00,35.71,0.00
546,0,0.00,35.71,0.00
547,0,0.00,35.71,0.00
548,1,22.00,35.71,71.45
549,10,33.57,35.71,38.76
550,0,0.00,35.71,0.00
551,1,6.71,35.71,30.97
552,3,3.43,35.71,41.46
553,3,23.71,35.71,58.67
554,0,0.00,35.71,0.00
555,2,32.43,35.71,31.97
556,0,0.00,35.71,0.00
557,0,0.00,35.71,0.00
558,12,23.86,35.57,26.74
559,0,0.00,35.57,0.00
560,1,7.57,35.57,30.32
561,2,29.00,35.57,46.35
562,2,34.43,35.57,24.99
563,0,0.00,35.57,0.00
564,0,0.00,35.57,0.00
565,0,0.00,35.57,0.00
566,0,0.00,35.57,0.00
567,5,33.43,35.57,20.81
568,0,0.00,35.57,0.00
569,0,0.00,35.57,0.00
570,2,24.86,35.57,14.31
571,0,0.00,35.57,0.00
572,5,8.71,35.57,50.67
573,0,0.00,35.57,0.00
574,1,26.71,35.57,27.31
575,1,5.43,35.57,13.97
576,0,0.00,35.57,0.00
577,1,7.29,35.57,59.25
578,0,0.00,35.57,0.00
579,0,0.00,35.57,0.00
580,0,0.00,35.57,0.00
581,0,0.00,35.57,0.00
582,0,0.00,35.57,0.00
583,0,0.00,35.57,0.00
584,1,35.43,35.43,45.98
585,2,21.57,35.43,44.00
586,0,0.00,35.43,0.00
587,0,0.00,35.43,0.00
588,0,0.00,35.43,0.00
589,0,0.00,35.43,0.00
590,0,0.00,35.43,0.00
591,0,0.00,35.43,0.00
592,1,29.00,35.43,15.36
593,7,17.14,35.43,42.49
594,0,0.00,35.43,0.00
595,0,0.00,35.43,0.00
596,2,32.71,35.43,41.12
597,0,0.00,35.43,0.00
598,0,0.00,35.43,0.00
599,2,25.86,35.43,8.38
600,0,0.00,35.43,0.00
601,4,21.43,35.43,31.97
602,0,0.00,35.43,0.00
603,0,0.00,35.43,0.00
604,3,30.00,35.43,14.70
605,0,0.00,35.43,0.00
606,1,31.29,35.43,14.37
607,0,0.00,35.43,0.00
608,2,13.57,35.43,21.37
609,2,22.00,35.43,37.08
610,0,0.00,35.43,0.00
611,1,10.29,35.29,163.61
612,1,20.86,35.29,11.77
613,2,33.57,35.29,11.63
614,0,0.00,35.29,0.00
615,0,0.00,35.29,0.00
616,0,0.00,35.29,0.00
617,0,0.00,35.29,0.00
618,2,3.86,35.29,21.75
619,0,0.00,35.29,0.00
620,0,0.00,35.29,0.00
621,1,7.86,35.29,19.99
622,0,0.00,35.29,0.00
623,1,23.86,35.29,13.97
624,0,0.00,35.29,0.00
625,3,11.14,35.29,32.02
626,0,0.00,35.29,0.00
627,0,0.00,35.29,0.00
628,0,0.00,35.29,0.00
629,0,0.00,35.29,0.00
630,1,34.29,35.29,18.98
631,0,0.00,35.29,0.00
632,0,0.00,35.29,0.00
633,1,2.71,35.29,75.20
634,0,0.00,35.29,0.00
635,0,0.00,35.29,0.00
636,0,0.00,35.29,0.00
637,0,0.00,35.14,0.00
638,0,0.00,35.14,0.00
639,0,0.00,35.14,0.00
640,0,0.00,35.14,0.00
641,3,26.71,35.14,40.04
642,0,0.00,35.14,0.00
643,4,28.43,35.14,15.26
644,0,0.00,35.14,0.00
645,0,0.00,35.14,0.00
646,0,0.00,35.14,0.00
647,0,0.00,35.14,0.00
648,2,11.57,35.14,11.98
649,1,8.57,35.14,15.36
650,1,6.43,35.14,29.33
651,0,0.00,35.14,0.00
652,0,0.00,35.14,0.00
653,0,0.00,35.14,0.00
654,0,0.00,35.14,0.00
655,5,31.14,35.14,29.39
656,1,5.86,35.14,11.77
657,0,0.00,35.14,0.00
658,0,0.00,35.14,0.00
659,1,7.14,35.14,26.73
660,2,8.29,35.14,24.08
661,1,33.71,35.14,12.99
662,0,0.00,35.14,0.00
663,0,0.00,35.14,0.00
664,0,0.00,35.14,0.00
665,0,0.00,35.14,0.00
666,1,20.86,35.00,52.47
667,0,0.00,35.00,0.00
668,8,33.57,35.00,29.48
669,1,4.43,35.00,54.71
670,0,0.00,35.00,0.00
671,6,29.29,35.00,36.53
672,1,8.14,35.00,34.11
673,2,3.86,35.00,20.15
674,0,0.00,35.00,0.00
675,3,25.29,35.00,70.45
676,6,23.00,35.00,79.33
677,0,0.00,35.00,0.00
678,1,20.43,35.00,14.96
679,0,0.00,35.00,0.00
680,2,16.29,35.00,28.64
681,5,25.14,35.00,17.25
682,0,0.00,35.00,0.00
683,1,28.00,35.00,10.77
684,0,0.00,35.00,0.00
685,0,0.00,35.00,0.00
686,0,0.00,35.00,0.00
687,0,0.00,35.00,0.00
688,0,0.00,35.00,0.00
689,0,0.00,35.00,0.00
690,1,18.86,35.00,29.92
691,1,6.00,35.00,21.54
692,0,0.00,35.00,0.00
693,13,34.43,35.00,42.44
694,0,0.00,35.00,0.00
695,0,0.00,35.00,0.00
696,1,3.57,35.00,24.99
697,3,25.86,34.86,20.08
698,0,0.00,34.86,0.00
699,5,14.43,34.86,17.22
700,0,0.00,34.86,0.00
701,2,17.43,34.86,20.55
702,1,22.86,34.86,128.89
703,0,0.00,34.86,0.00
704,0,0.00,34.86,0.00
705,1,11.14,34.86,11.78
706,0,0.00,34.86,0.00
707,1,4.00,34.86,37.75
708,1,0.57,34.86,29.58
709,0,0.00,34.86,0.00
710,0,0.00,34.86,0.00
711,0,0.00,34.86,0.00
712,4,30.57,34.86,22.54
713,6,33.57,34.86,16.31
714,1,1.71,34.86,14.37
715,2,9.71,34.86,50.27
716,0,0.00,34.86,0.00
717,0,0.00,34.86,0.00
718,2,12.00,34.86,14.47
719,0,0.00,34.86,0.00
720,7,34.86,34.86,14.60
721,0,0.00,34.86,0.00
722,0,0.00,34.86,0.00
723,0,0.00,34.86,0.00
724,0,0.00,34.86,0.00
725,0,0.00,34.86,0.00
726,3,20.29,34.86,48.17
727,0,0.00,34.86,0.00
728,5,17.00,34.86,62.48
729,0,0.00,34.86,0.00
730,2,10.57,34.71,11.77
731,1,4.57,34.71,18.76
732,3,33.71,34.71,37.47
733,0,0.00,34.71,0.00
734,0,0.00,34.71,0.00
735,0,0.00,34.71,0.00
736,0,0.00,34.71,0.00
737,0,0.00,34.71,0.00
738,0,0.00,34.71,0.00
739,1,13.29,34.71,12.49
740,0,0.00,34.71,0.00
741,1,24.86,34.71,14.96
742,0,0.00,34.71,0.00
743,0,0.00,34.71,0.00
744,0,0.00,34.71,0.00
745,2,14.43,34.71,16.83
746,0,0.00,34.71,0.00
747,1,12.57,34.71,70.13
748,0,0.00,34.71,0.00
749,0,0.00,34.71,0.00
750,1,7.14,34.71,6.79
751,10,29.29,34.71,62.26
752,0,0.00,34.71,0.00
753,0,0.00,34.71,0.00
754,0,0.00,34.71,0.00
755,0,0.00,34.71,0.00
756,3,16.43,34.71,13.30
757,3,17.14,34.71,20.68
758,0,0.00,34.71,0.00
759,0,0.00,34.71,0.00
760,2,9.14,34.57,66.94
761,5,34.57,34.57,89.61
762,4,23.14,34.57,18.04
763,0,0.00,34.57,0.00
764,0,0.00,34.57,0.00
765,0,0.00,34.57,0.00
766,0,0.00,34.57,0.00
767,0,0.00,34.57,0.00
768,0,0.00,34.57,0.00
769,0,0.00,34.57,0.00
770,1,3.71,34.57,27.94
771,0,0.00,34.57,0.00
772,0,0.00,34.57,0.00
773,0,0.00,34.57,0.00
774,0,0.00,34.57,0.00
775,1,16.00,34.57,15.36
776,1,0.29,34.57,24.98
777,3,9.29,34.57,12.19
778,1,8.71,34.57,28.34
779,0,0.00,34.57,0.00
780,0,0.00,34.57,0.00
781,0,0.00,34.57,0.00
782,0,0.00,34.43,0.00
783,6,32.86,34.43,47.02
784,2,25.57,34.43,37.12
785,0,0.00,34.43,0.00
786,0,0.00,34.43,0.00
787,0,0.00,34.43,0.00
788,0,0.00,34.43,0.00
789,0,0.00,34.43,0.00
790,0,0.00,34.43,0.00
791,0,0.00,34.43,0.00
792,0,0.00,34.43,0.00
793,1,2.14,34.43,50.30
794,6,30.86,34.43,13.48
795,0,0.00,34.43,0.00
796,1,5.86,34.43,32.37
797,0,0.00,34.43,0.00
798,2,8.14,34.43,127.32
799,0,0.00,34.43,0.00
800,0,0.00,34.43,0.00
801,7,33.71,34.43,124.61
802,0,0.00,34.43,0.00
803,0,0.00,34.43,0.00
804,0,0.00,34.43,0.00
805,2,20.71,34.43,32.42
806,0,0.00,34.43,0.00
807,0,0.00,34.43,0.00
808,0,0.00,34.43,0.00
809,0,0.00,34.43,0.00
810,2,12.71,34.43,46.79
811,0,0.00,34.29,0.00
812,1,7.29,34.29,19.99
813,13,33.86,34.29,28.62
814,7,5.57,34.29,27.36
815,0,0.00,34.29,0.00
816,0,0.00,34.29,0.00
817,3,32.00,34.29,39.73
818,0,0.00,34.29,0.00
819,1,22.14,34.29,11.77
820,0,0.00,34.29,0.00
821,1,4.71,34.29,66.63
822,1,19.71,34.29,14.96
823,2,0.86,34.29,42.20
824,0,0.00,34.29,0.00
825,0,0.00,34.29,0.00
826,0,0.00,34.29,0.00
827,1,8.29,34.29,13.97
828,0,0.00,34.29,0.00
829,0,0.00,34.29,0.00
830,1,21.14,34.29,44.28
831,1,23.86,34.29,21.75
832,0,0.00,34.29,0.00
833,0,0.00,34.29,0.00
834,0,0.00,34.29,0.00
835,0,0.00,34.29,0.00
836,2,31.00,34.29,12.25
837,1,0.57,34.29,12.97
838,0,0.00,34.29,0.00
839,0,0.00,34.29,0.00
840,1,26.71,34.29,15.96
841,19,34.00,34.14,29.49
842,2,21.00,34.14,103.88
843,2,28.00,34.14,38.45
844,0,0.00,34.14,0.00
845,2,21.00,34.14,109.63
846,2,14.00,34.14,68.85
847,0,0.00,34.14,0.00
848,0,0.00,34.14,0.00
849,0,0.00,34.14,0.00
850,1,6.57,34.14,58.14
851,0,0.00,34.14,0.00
852,0,0.00,34.14,0.00
853,0,0.00,34.14,0.00
854,1,0.43,34.14,16.76
855,0,0.00,34.14,0.00
856,1,10.57,34.14,13.97
857,0,0.00,34.14,0.00
858,1,1.43,34.14,29.98
859,0,0.00,34.14,0.00
860,0,0.00,34.14,0.00
861,2,18.29,34.14,12.97
862,0,0.00,34.14,0.00
863,0,0.00,34.14,0.00
864,0,0.00,34.14,0.00
865,1,14.86,34.14,43.09
866,0,0.00,34.14,0.00
867,7,31.43,34.14,23.64
868,0,0.00,34.14,0.00
869,0,0.00,34.14,0.00
870,0,0.00,34.14,0.00
871,0,0.00,34.14,0.00
872,0,0.00,34.14,0.00
873,1,0.14,34.14,9.77
