ID,frequency,recency,T
483,1,8.57,36.0
484,0,0.0,36.0
485,11,33.14,36.0
486,0,0.0,36.0
487,4,9.0,36.0
488,0,0.0,36.0
489,0,0.0,36.0
490,0,0.0,36.0
491,4,17.43,36.0
492,0,0.0,36.0
493,3,30.43,36.0
494,0,0.0,36.0
495,1,36.0,36.0
496,1,2.14,36.0
497,0,0.0,36.0
498,0,0.0,36.0
499,6,26.57,36.0
500,3,5.57,36.0
501,0,0.0,36.0
502,0,0.0,36.0
503,0,0.0,36.0
504,0,0.0,35.86
505,2,14.29,35.86
506,0,0.0,35.86
507,2,31.0,35.86
508,0,0.0,35.86
509,18,35.14,35.86
510,0,0.0,35.86
511,1,5.29,35.86
512,0,0.0,35.86
513,1,7.86,35.86
514,0,0.0,35.86
515,0,0.0,35.86
516,0,0.0,35.86
517,5,29.57,35.86
518,0,0.0,35.86
519,1,35.86,35.86
520,0,0.0,35.86
521,6,34.86,35.86
522,0,0.0,35.86
523,2,11.14,35.86
524,0,0.0,35.86
525,0,0.0,35.86
526,2,22.71,35.86
527,0,0.0,35.86
528,1,29.86,35.86
529,1,20.86,35.71
530,0,0.0,35.71
531,0,0.0,35.71
532,1,12.86,35.71
533,0,0.0,35.71
534,1,4.57,35.71
535,2,29.43,35.71
536,0,0.0,35.71
537,0,0.0,35.71
538,0,0.0,35.71
539,1,0.14,35.71
540,0,0.0,35.71
541,2,31.71,35.71
542,0,0.0,35.71
543,2,22.43,35.71
544,0,0.0,35.71
545,0,0.0,35.71
546,0,0.0,35.71
547,0,0.0,35.71
548,1,22.0,35.71
549,10,33.57,35.71
550,0,0.0,35.71
551,1,6.71,35.71
552,3,3.43,35.71
553,3,23.71,35.71
554,0,0.0,35.71
555,2,32.43,35.71
556,0,0.0,35.71
557,0,0.0,35.71
558,12,23.86,35.57
559,0,0.0,35.57
560,1,7.57,35.57
561,2,29.0,35.57
562,2,34.43,35.57
563,0,0.0,35.57
564,0,0.0,35.57
565,0,0.0,35.57
566,0,0.0,35.57
567,5,33.43,35.57
568,0,0.0,35.57
569,0,0.0,35.57
570,2,24.86,35.57
571,0,0.0,35.57
572,5,8.71,35.57
573,0,0.0,35.57
574,1,26.71,35.57
575,1,5.43,35.57
576,0,0.0,35.57
577,1,7.29,35.57
578,0,0.0,35.57
579,0,0.0,35.57
580,0,0.0,35.57
581,0,0.0,35.57
582,0,0.0,35.57
583,0,0.0,35.57
584,1,35.43,35.43
585,2,21.57,35.43
586,0,0.0,35.43
587,0,0.0,35.43
588,0,0.0,35.43
589,0,0.0,35.43
590,0,0.0,35.43
591,0,0.0,35.43
592,1,29.0,35.43
593,7,17.14,35.43
594,0,0.0,35.43
595,0,0.0,35.43
596,2,32.71,35.43
597,0,0.0,35.43
598,0,0.0,35.43
599,2,25.86,35.43
600,0,0.0,35.43
601,4,21.43,35.43
602,0,0.0,35.43
603,0,0.0,35.43
604,3,30.0,35.43
605,0,0.0,35.43
606,1,31.29,35.43
607,0,0.0,35.43
608,2,13.57,35.43
609,2,22.0,35.43
610,0,0.0,35.43
611,1,10.29,35.29
612,1,20.86,35.29
613,2,33.57,35.29
614,0,0.0,35.29
615,0,0.0,35.29
616,0,0.0,35.29
617,0,0.0,35.29
618,2,3.86,35.29
619,0,0.0,35.29
620,0,0.0,35.29
621,1,7.86,35.29
622,0,0.0,35.29
623,1,23.86,35.29
624,0,0.0,35.29
625,3,11.14,35.29
626,0,0.0,35.29
627,0,0.0,35.29
628,0,0.0,35.29
629,0,0.0,35.29
630,1,34.29,35.29
631,0,0.0,35.29
632,0,0.0,35.29
633,1,2.71,35.29
634,0,0.0,35.29
635,0,0.0,35.29
636,0,0.0,35.29
637,0,0.0,35.14
638,0,0.0,35.14
639,0,0.0,35.14
640,0,0.0,35.14
641,3,26.71,35.14
642,0,0.0,35.14
643,4,28.43,35.14
644,0,0.0,35.14
645,0,0.0,35.14
646,0,0.0,35.14
647,0,0.0,35.14
648,2,11.57,35.14
649,1,8.57,35.14
650,1,6.43,35.14
651,0,0.0,35.14
652,0,0.0,35.14
653,0,0.0,35.14
654,0,0.0,35.14
655,5,31.14,35.14
656,1,5.86,35.14
657,0,0.0,35.14
658,0,0.0,35.14
659,1,7.14,35.14
660,2,8.29,35.14
661,1,33.71,35.14
662,0,0.0,35.14
663,0,0.0,35.14
664,0,0.0,35.14
665,0,0.0,35.14
666,1,20.86,35.0
667,0,0.0,35.0
668,8,33.57,35.0
669,1,4.43,35.0
670,0,0.0,35.0
671,6,29.29,35.0
672,1,8.14,35.0
673,2,3.86,35.0
674,0,0.0,35.0
675,3,25.29,35.0
676,6,23.0,35.0
677,0,0.0,35.0
678,1,20.43,35.0
679,0,0.0,35.0
680,2,16.29,35.0
681,5,25.14,35.0
682,0,0.0,35.0
683,1,28.0,35.0
684,0,0.0,35.0
685,0,0.0,35.0
686,0,0.0,35.0
687,0,0.0,35.0
688,0,0.0,35.0
689,0,0.0,35.0
690,1,18.86,35.0
691,1,6.0,35.0
692,0,0.0,35.0
693,13,34.43,35.0
694,0,0.0,35.0
695,0,0.0,35.0
696,1,3.57,35.0
697,3,25.86,34.86
698,0,0.0,34.86
699,5,14.43,34.86
700,0,0.0,34.86
701,2,17.43,34.86
702,1,22.86,34.86
703,0,0.0,34.86
704,0,0.0,34.86
705,1,11.14,34.86
706,0,0.0,34.86
707,1,4.0,34.86
708,1,0.57,34.86
709,0,0.0,34.86
710,0,0.0,34.86
711,0,0.0,34.86
712,4,30.57,34.86
713,6,33.57,34.86
714,1,1.71,34.86
715,2,9.71,34.86
716,0,0.0,34.86
717,0,0.0,34.86
718,2,12.0,34.86
719,0,0.0,34.86
720,7,34.86,34.86
721,0,0.0,34.86
722,0,0.0,34.86
723,0,0.0,34.86
724,0,0.0,34.86
725,0,0.0,34.86
726,3,20.29,34.86
727,0,0.0,34.86
728,5,17.0,34.86
729,0,0.0,34.86
730,2,10.57,34.71
731,1,4.57,34.71
732,3,33.71,34.71
733,0,0.0,34.71
734,0,0.0,34.71
735,0,0.0,34.71
736,0,0.0,34.71
737,0,0.0,34.71
738,0,0.0,34.71
739,1,13.29,34.71
740,0,0.0,34.71
741,1,24.86,34.71
742,0,0.0,34.71
743,0,0.0,34.71
744,0,0.0,34.71
745,2,14.43,34.71
746,0,0.0,34.71
747,1,12.57,34.71
748,0,0.0,34.71
749,0,0.0,34.71
750,1,7.14,34.71
751,10,29.29,34.71
752,0,0.0,34.71
753,0,0.0,34.71
754,0,0.0,34.71
755,0,0.0,34.71
756,3,16.43,34.71
757,3,17.14,34.71
758,0,0.0,34.71
759,0,0.0,34.71
760,2,9.14,34.57
761,5,34.57,34.57
762,4,23.14,34.57
763,0,0.0,34.57
764,0,0.0,34.57
765,0,0.0,34.57
766,0,0.0,34.57
767,0,0.0,34.57
768,0,0.0,34.57
769,0,0.0,34.57
770,1,3.71,34.57
771,0,0.0,34.57
772,0,0.0,34.57
773,0,0.0,34.57
774,0,0.0,34.57
775,1,16.0,34.57
776,1,0.29,34.57
777,3,9.29,34.57
778,1,8.71,34.57
779,0,0.0,34.57
780,0,0.0,34.57
781,0,0.0,34.57
782,0,0.0,34.43
783,6,32.86,34.43
784,2,25.57,34.43
785,0,0.0,34.43
786,0,0.0,34.43
787,0,0.0,34.43
788,0,0.0,34.43
789,0,0.0,34.43
790,0,0.0,34.43
791,0,0.0,34.43
792,0,0.0,34.43
793,1,2.14,34.43
794,6,30.86,34.43
795,0,0.0,34.43
796,1,5.86,34.43
797,0,0.0,34.43
798,2,8.14,34.43
799,0,0.0,34.43
800,0,0.0,34.43
801,7,33.71,34.43
802,0,0.0,34.43
803,0,0.0,34.43
804,0,0.0,34.43
805,2,20.71,34.43
806,0,0.0,34.43
807,0,0.0,34.43
808,0,0.0,34.43
809,0,0.0,34.43
810,2,12.71,34.43
811,0,0.0,34.29
812,1,7.29,34.29
813,13,33.86,34.29
814,7,5.57,34.29
815,0,0.0,34.29
816,0,0.0,34.29
817,3,32.0,34.29
818,0,0.0,34.29
819,1,22.14,34.29
820,0,0.0,34.29
821,1,4.71,34.29
822,1,19.71,34.29
823,2,0.86,34.29
824,0,0.0,34.29
825,0,0.0,34.29
826,0,0.0,34.29
827,1,8.29,34.29
828,0,0.0,34.29
829,0,0.0,34.29
830,1,21.14,34.29
831,1,23.86,34.29
832,0,0.0,34.29
833,0,0.0,34.29
834,0,0.0,34.29
835,0,0.0,34.29
836,2,31.0,34.29
837,1,0.57,34.29
838,0,0.0,34.29
839,0,0.0,34.29
840,1,26.71,34.29
841,19,34.0,34.14
842,2,21.0,34.14
843,2,28.0,34.14
844,0,0.0,34.14
845,2,21.0,34.14
846,2,14.0,34.14
847,0,0.0,34.14
848,0,0.0,34.14
849,0,0.0,34.14
850,1,6.57,34.14
851,0,0.0,34.14
852,0,0.0,34.14
853,0,0.0,34.14
854,1,0.43,34.14
855,0,0.0,34.14
856,1,10.57,34.14
857,0,0.0,34.14
858,1,1.43,34.14
859,0,0.0,34.14
860,0,0.0,34.14
861,2,18.29,34.14
862,0,0.0,34.14
863,0,0.0,34.14
864,0,0.0,34.14
865,1,14.86,34.14
866,0,0.0,34.14
867,7,31.43,34.14
868,0,0.0,34.14
869,0,0.0,34.14
870,0,0.0,34.14
871,0,0.0,34.14
872,0,0.0,34.14
873,1,0.14,34.14
874,0,0.0,34.14
875,0,0.0,34.14
876,1,27.71,34.14
877,1,16.57,34.0
878,0,0.0,34.0
879,0,0.0,34.0
880,2,8.71,34.0
881,0,0.0,34.0
882,1,9.86,34.0
883,1,15.29,34.0
884,0,0.0,34.0
885,0,0.0,34.0
886,4,28.14,34.0
887,0,0.0,34.0
888,0,0.0,34.0
889,1,13.71,34.0
890,0,0.0,34.0
891,0,0.0,34.0
892,0,0.0,34.0
893,1,23.86,34.0
894,0,0.0,34.0
895,0,0.0,34.0
896,0,0.0,34.0
897,5,14.71,34.0
898,1,10.29,34.0
899,0,0.0,34.0
900,1,24.86,34.0
901,0,0.0,34.0
902,1,9.71,34.0
903,0,0.0,34.0
904,1,2.29,34.0
905,0,0.0,34.0
906,0,0.0,34.0
907,0,0.0,34.0
908,7,26.0,34.0
909,2,20.14,34.0
910,1,12.71,34.0
911,0,0.0,34.0
912,0,0.0,34.0
913,0,0.0,33.86
914,0,0.0,33.86
915,0,0.0,33.86
916,1,15.71,33.86
917,0,0.0,33.86
918,0,0.0,33.86
919,0,0.0,33.86
920,0,0.0,33.86
921,2,32.71,33.86
922,0,0.0,33.86
923,0,0.0,33.86
924,0,0.0,33.86
925,0,0.0,33.86
926,0,0.0,33.86
927,0,0.0,33.86
928,1,8.57,33.86
929,0,0.0,33.86
930,4,26.14,33.86
931,0,0.0,33.86
932,1,4.57,33.86
933,1,23.0,33.86
934,0,0.0,33.86
935,1,2.57,33.86
936,0,0.0,33.86
937,1,3.71,33.86
938,2,33.0,33.71
939,0,0.0,33.71
940,1,3.0,33.71
941,0,0.0,33.71
942,0,0.0,33.71
943,0,0.0,33.71
944,2,33.71,33.71
945,0,0.0,33.71
946,4,15.29,33.71
947,0,0.0,33.71
948,1,6.14,33.71
949,7,32.57,33.71
950,1,1.14,33.71
951,0,0.0,33.71
952,1,2.29,33.71
953,0,0.0,33.71
954,0,0.0,33.71
955,4,24.0,33.71
956,0,0.0,33.71
957,1,6.71,33.71
958,0,0.0,33.71
959,0,0.0,33.71
960,0,0.0,33.71
961,0,0.0,33.71
962,1,1.0,33.71
963,0,0.0,33.71
964,7,30.14,33.71
965,1,11.0,33.71
966,0,0.0,33.71
967,6,29.86,33.71
968,0,0.0,33.71
969,5,18.29,33.71
970,0,0.0,33.71
971,2,14.29,33.71
972,0,0.0,33.71
973,1,17.43,33.71
974,0,0.0,33.71
975,6,30.43,33.71
976,0,0.0,33.71
977,2,11.43,33.71
978,0,0.0,33.71
979,0,0.0,33.71
980,0,0.0,33.71
981,2,16.0,33.57
982,2,27.14,33.57
983,0,0.0,33.57
984,0,0.0,33.57
985,6,25.0,33.57
986,0,0.0,33.57
987,0,0.0,33.57
988,1,20.0,33.57
989,0,0.0,33.57
990,1,24.29,33.57
991,0,0.0,33.57
992,0,0.0,33.57
993,0,0.0,33.57
994,2,10.71,33.57
995,0,0.0,33.57
996,0,0.0,33.57
997,0,0.0,33.57
998,0,0.0,33.57
999,1,1.71,33.57
1000,4,24.43,33.57
1001,0,0.0,33.57
1002,0,0.0,33.57
1003,1,26.71,33.57
1004,0,0.0,33.57
1005,1,3.86,33.57
1006,0,0.0,33.57
1007,0,0.0,33.43
1008,1,1.43,33.43
1009,0,0.0,33.43
1010,5,21.14,33.43
1011,2,18.86,33.43
1012,0,0.0,33.43
1013,0,0.0,33.43
1014,0,0.0,33.43
1015,3,26.0,33.43
1016,0,0.0,33.43
1017,12,32.43,33.43
1018,1,9.14,33.43
1019,0,0.0,33.43
1020,0,0.0,33.43
1021,2,21.43,33.43
1022,0,0.0,33.43
1023,0,0.0,33.43
1024,0,0.0,33.43
1025,0,0.0,33.43
1026,0,0.0,33.43
1027,0,0.0,33.43
1028,0,0.0,33.43
1029,0,0.0,33.43
1030,0,0.0,33.43
1031,0,0.0,33.43
1032,0,0.0,33.43
1033,0,0.0,33.43
1034,0,0.0,33.43
1035,0,0.0,33.43
1036,0,0.0,33.43
1037,4,14.29,33.43
1038,1,23.14,33.29
1039,1,8.71,33.29
1040,0,0.0,33.29
1041,0,0.0,33.29
1042,3,18.0,33.29
1043,0,0.0,33.29
1044,1,33.29,33.29
1045,0,0.0,33.29
1046,1,0.57,33.29
1047,0,0.0,33.29
1048,0,0.0,33.29
1049,0,0.0,33.29
1050,0,0.0,33.29
1051,4,25.0,33.29
1052,0,0.0,33.29
1053,0,0.0,33.29
1054,2,19.14,33.29
1055,0,0.0,33.29
1056,5,32.29,33.29
1057,0,0.0,33.29
1058,3,24.57,33.29
1059,1,0.14,33.29
1060,0,0.0,33.29
1061,0,0.0,33.29
1062,3,13.14,33.29
1063,0,0.0,33.29
1064,0,0.0,33.29
1065,0,0.0,33.29
1066,0,0.0,33.29
1067,0,0.0,33.14
1068,0,0.0,33.14
1069,0,0.0,33.14
1070,0,0.0,33.14
1071,2,4.0,33.14
1072,0,0.0,33.14
1073,0,0.0,33.14
1074,0,0.0,33.14
1075,2,4.86,33.14
1076,3,19.29,33.14
1077,0,0.0,33.14
1078,0,0.0,33.14
1079,0,0.0,33.14
1080,0,0.0,33.14
1081,11,32.0,33.14
1082,0,0.0,33.14
1083,0,0.0,33.14
1084,2,2.29,33.14
1085,0,0.0,33.14
1086,1,19.0,33.14
1087,0,0.0,33.14
1088,7,28.71,33.14
1089,0,0.0,33.14
1090,0,0.0,33.14
1091,1,19.0,33.14
1092,0,0.0,33.14
1093,3,12.0,33.14
1094,0,0.0,33.14
1095,2,28.0,33.14
1096,0,0.0,33.14
1097,1,2.0,33.14
1098,0,0.0,33.14
1099,4,25.0,33.14
1100,2,15.29,33.0
1101,2,6.0,33.0
1102,1,18.29,33.0
1103,0,0.0,33.0
1104,0,0.0,33.0
1105,0,0.0,33.0
1106,0,0.0,33.0
1107,0,0.0,33.0
1108,1,8.57,33.0
1109,3,30.29,33.0
1110,0,0.0,33.0
1111,0,0.0,33.0
1112,1,18.43,33.0
1113,1,0.86,33.0
1114,6,18.43,33.0
1115,0,0.0,33.0
1116,0,0.0,33.0
1117,4,29.0,33.0
1118,0,0.0,33.0
1119,0,0.0,33.0
1120,1,1.29,33.0
1121,0,0.0,33.0
1122,2,9.86,33.0
1123,0,0.0,33.0
1124,1,2.43,33.0
1125,3,9.71,33.0
1126,7,30.43,33.0
1127,2,15.0,33.0
1128,0,0.0,33.0
1129,5,32.14,33.0
1130,0,0.0,33.0
1131,0,0.0,33.0
1132,0,0.0,33.0
1133,0,0.0,32.86
1134,5,32.43,32.86
1135,0,0.0,32.86
1136,12,17.71,32.86
1137,1,18.43,32.86
1138,0,0.0,32.86
1139,1,18.86,32.86
1140,0,0.0,32.86
1141,1,0.71,32.86
1142,0,0.0,32.86
1143,0,0.0,32.86
1144,0,0.0,32.86
1145,0,0.0,32.86
1146,3,8.57,32.86
1147,0,0.0,32.86
1148,0,0.0,32.86
1149,0,0.0,32.86
1150,0,0.0,32.86
1151,0,0.0,32.86
